id,FAM1,FAM1_OK,FAM2,FAM2_OK,FAM3,FAM3_OK,FAM4,FAM4_OK,TEST1,TEST1_OK,TEST2,TEST2_OK
AdultMB2_001_1,FAM_LL,no,FAM_LR,yes,FAM_RL,yes,FAM_RR,yes,IG_RR,yes,KNOW_RR,no
AdultMB2_003_3,FAM_LL,yes,FAM_LR,no,FAM_RL,yes,FAM_RR,yes,IG_RR,no,KNOW_LR,yes
